Suburb,Population Density,Population,LGA,Area (km2),,,,,,,,,,,
Woori Yallock,107.68,2964,Yarra Ranges (Shire),27.53,,,,,,,,,,,
Yarrambat,103.49,1602,Nillumbik (Shire),15.48,,,,,,,,,,,
Bunyip,101.83,3131,Cardinia (Shire),30.75,,,,,,,,,,,
Beaconsfield Upper,100.4,2997,Cardinia (Shire),29.85,,,,,,,,,,,
Olinda,97.9,1773,Yarra Ranges (Shire),18.11,,,,,,,,,,,
Gisborne,93.1,10142,Macedon Ranges (Shire),108.94,,,,,,,,,,,
New Gisborne,91.02,2509,Macedon Ranges (Shire),27.57,,,,,,,,,,,
Ravenhall,84.76,2295,Melton (City),27.08,,,,,,,,,,,
Cranbourne South,83.71,3241,Casey (City),38.72,,,,,,,,,,,
Balnarring,82.66,2371,Mornington Peninsula (Shire),28.68,,,,,,,,,,,
Yarra Glen,81.56,3012,Yarra Ranges (Shire),36.93,,,,,,,,,,,
Garfield,67.6,2114,Cardinia (Shire),31.27,,,,,,,,,,,
Harkaway,67.53,1011,Casey (City),14.97,,,,,,,,,,,
Hmas Cerberus,67.52,1124,Mornington Peninsula (Shire),16.65,,,,,,,,,,,
Launching Place,66.28,2495,Yarra Ranges (Shire),37.64,,,,,,,,,,,
Devon Meadows,65.54,1551,Casey (City),23.66,,,,,,,,,,,
Koo Wee Rup,60.68,4047,Cardinia (Shire),66.69,,,,,,,,,,,
Werribee South,58.49,2392,Wyndham (City),40.90,,,,,,,,,,,
Romsey,58.43,5797,Macedon Ranges (Shire),99.21,,,,,,,,,,,
Mickleham,57.41,17452,Hume (City),303.99,,,,,,,,,,,
Tooradin,56.55,1722,Cardinia (Shire),30.45,,,,,,,,,,,
Riddells Creek,54.37,4390,Macedon Ranges (Shire),80.74,,,,,,,,,,,
Clyde,53.65,11177,Casey (City),208.33,,,,,,,,,,,
Whittlesea,52.81,6117,Whittlesea (City),115.83,,,,,,,,,,,
Healesville,52.64,7589,Yarra Ranges (Shire),144.17,,,,,,,,,,,
Macedon,52.34,2073,Macedon Ranges (Shire),39.61,,,,,,,,,,,
Panton Hill,50.36,1063,Nillumbik (Shire),21.11,,,,,,,,,,,
Eden Park,49.23,1194,Whittlesea (City),24.25,,,,,,,,,,,
Eynesbury,42.29,2838,Melton (City),67.11,,,,,,,,,,,
Silvan,41.29,1323,Yarra Ranges (Shire),32.04,,,,,,,,,,,
Diggers Rest,40.78,5669,Hume (City),139.01,,,,,,,,,,,
Wandong,39.56,1477,Mitchell (Shire),37.34,,,,,,,,,,,
Mount Macedon,39.25,1450,Macedon Ranges (Shire),36.94,,,,,,,,,,,
Red Hill,39.17,1009,Mornington Peninsula (Shire),25.76,,,,,,,,,,,
Coldstream,38.91,2199,Yarra Ranges (Shire),56.52,,,,,,,,,,,
Pakenham Upper,36.61,1196,Cardinia (Shire),32.67,,,,,,,,,,,
Rockbank,36.57,7982,Melton (City),218.27,,,,,,,,,,,
Kangaroo Ground,34.85,1208,Nillumbik (Shire),34.66,,,,,,,,,,,
St Andrews,30.81,1186,Nillumbik (Shire),38.49,,,,,,,,,,,
Moorooduc,25.61,1004,Mornington Peninsula (Shire),39.20,,,,,,,,,,,
Wesburn,24.69,1052,Yarra Ranges (Shire),42.61,,,,,,,,,,,
Beveridge,20.86,4642,Whittlesea (City),222.53,,,,,,,,,,,
Lancefield,19.83,2743,Macedon Ranges (Shire),138.33,,,,,,,,,,,
Nar Nar Goon,19.47,1023,Cardinia (Shire),52.54,,,,,,,,,,,
Kinglake West,17.86,1305,Murrindindi (Shire),73.07,,,,,,,,,,,
Flinders,16.42,1130,Mornington Peninsula (Shire),68.82,,,,,,,,,,,
Warburton,15.18,2020,Yarra Ranges (Shire),133.07,,,,,,,,,,,
Kalkallo,14.95,5548,Hume (City),371.10,,,,,,,,,,,
Kinglake,13.34,1662,Murrindindi (Shire),124.59,,,,,,,,,,,
Gembrook,11.61,2559,Cardinia (Shire),220.41,,,,,,,,,,,
